w_rad_s,f_hz,cable_len_equiv_m,bridge_A_unshaped_tf1.1,bridge_A_unshaped_tf1.6,bridge_A_unshaped_tf2.0,bridge_A_ZV_tf1.1,bridge_A_ZV_tf1.6,bridge_A_ZV_tf2.0,bridge_B_unshaped,bridge_B_ZV_0.91,bridge_B_ZVD_asrun_0.91,bridge_B_ZVD_textbook_0.91,bridge_B_EI5_0.91,tower_ZV_0.84,tower_ZVD_asrun,tower_ZVD_textbook,tower_2modeZV,shaperonly_ZV_0.91,shaperonly_ZVD_textbook_0.91,shaperonly_ZVD_asrun_0.91,shaperonly_ZV_0.84,shaperonly_2modeZV
15.715596,2.501215,0.039706,1.0,1.0,1.0,0.704674,0.704674,0.704674,1.0,0.646803,0.450959,0.418354,0.389272,0.950061,0.972374,0.816798,0.49724,0.646803,0.418354,0.360767,0.950061,0.49724
15.728524,2.503272,0.039641,1.0,1.0,1.0,0.700534,0.700534,0.700534,1.0,0.642306,0.443428,0.412557,0.383185,0.948353,0.966133,0.812588,0.497755,0.642306,0.412557,0.354742,0.948353,0.497755
15.741451,2.50533,0.039576,1.0,1.0,1.0,0.696371,0.696371,0.696371,1.0,0.637787,0.435937,0.406772,0.377111,0.946616,0.959836,0.80834,0.498249,0.637787,0.406772,0.348749,0.946616,0.498249
15.754379,2.507387,0.039511,1.0,1.0,1.0,0.692184,0.692184,0.692184,1.0,0.633245,0.428488,0.401,0.37105,0.944852,0.953485,0.804054,0.498722,0.633245,0.401,0.34279,0.944852,0.498722
15.767306,2.509445,0.039446,1.0,1.0,1.0,0.687974,0.687974,0.687974,1.0,0.628682,0.421083,0.395241,0.365003,0.94306,0.947081,0.799732,0.499173,0.628682,0.395241,0.336866,0.94306,0.499173
15.780234,2.511502,0.039382,1.0,1.0,1.0,0.683741,0.683741,0.683741,1.0,0.624097,0.413724,0.389497,0.358972,0.94124,0.940624,0.795374,0.499603,0.624097,0.389497,0.330979,0.94124,0.499603
15.793161,2.51356,0.039317,1.0,1.0,1.0,0.679484,0.679484,0.679484,1.0,0.61949,0.406414,0.383768,0.352957,0.939392,0.934114,0.79098,0.500011,0.61949,0.383768,0.325131,0.939392,0.500011
15.806088,2.515617,0.039253,1.0,1.0,1.0,0.675204,0.675204,0.675204,1.0,0.614862,0.399155,0.378056,0.346958,0.937517,0.927553,0.786551,0.500397,0.614862,0.378056,0.319324,0.937517,0.500397
15.819016,2.517675,0.039189,1.0,1.0,1.0,0.670902,0.670902,0.670902,1.0,0.610213,0.391949,0.37236,0.340978,0.935614,0.920941,0.782087,0.500762,0.610213,0.37236,0.313559,0.935614,0.500762
15.831943,2.519732,0.039125,1.0,1.0,1.0,0.666577,0.666577,0.666577,1.0,0.605543,0.384799,0.366682,0.335016,0.933684,0.91428,0.777589,0.501104,0.605543,0.366682,0.307839,0.933684,0.501104
15.844871,2.521789,0.039061,1.0,1.0,1.0,0.662229,0.662229,0.662229,1.0,0.600851,0.377707,0.361022,0.329073,0.931726,0.90757,0.773058,0.501424,0.600851,0.361022,0.302166,0.931726,0.501424
15.857798,2.523847,0.038997,1.0,1.0,1.0,0.657859,0.657859,0.657859,1.0,0.596139,0.370677,0.355382,0.323151,0.92974,0.900811,0.768495,0.501723,0.596139,0.355382,0.296542,0.92974,0.501723
15.870726,2.525904,0.038934,1.0,1.0,1.0,0.653467,0.653467,0.653467,1.0,0.591406,0.36371,0.349761,0.317249,0.927727,0.894004,0.763899,0.501999,0.591406,0.349761,0.290968,0.927727,0.501999
15.883653,2.527962,0.03887,1.0,1.0,1.0,0.649052,0.649052,0.649052,1.0,0.586653,0.35681,0.344162,0.31137,0.925687,0.887151,0.759271,0.502252,0.586653,0.344162,0.285448,0.925687,0.502252
15.89658,2.530019,0.038807,1.0,1.0,1.0,0.644616,0.644616,0.644616,1.0,0.581879,0.34998,0.338583,0.305513,0.923619,0.880253,0.754613,0.502484,0.581879,0.338583,0.279984,0.923619,0.502484
15.909508,2.532077,0.038744,1.0,1.0,1.0,0.640157,0.640157,0.640157,1.0,0.577086,0.343222,0.333028,0.299679,0.921525,0.873309,0.749924,0.502693,0.577086,0.333028,0.274577,0.921525,0.502693
15.922435,2.534134,0.038681,1.0,1.0,1.0,0.635677,0.635677,0.635677,1.0,0.572272,0.336539,0.327495,0.29387,0.919403,0.86632,0.745205,0.502879,0.572272,0.327495,0.269231,0.919403,0.502879
15.935363,2.536192,0.038619,1.0,1.0,1.0,0.631176,0.631176,0.631176,1.0,0.567438,0.329935,0.321986,0.288086,0.917253,0.859289,0.740457,0.503043,0.567438,0.321986,0.263948,0.917253,0.503043
15.94829,2.538249,0.038556,1.0,1.0,1.0,0.626653,0.626653,0.626653,1.0,0.562585,0.323413,0.316502,0.282327,0.915077,0.852214,0.735681,0.503184,0.562585,0.316502,0.258731,0.915077,0.503184
15.961218,2.540307,0.038494,1.0,1.0,1.0,0.622109,0.622109,0.622109,1.0,0.557713,0.316977,0.311043,0.276596,0.912874,0.845098,0.730876,0.503303,0.557713,0.311043,0.253582,0.912874,0.503303
15.974145,2.542364,0.038431,1.0,1.0,1.0,0.617544,0.617544,0.617544,1.0,0.552821,0.310629,0.305611,0.270891,0.910644,0.837941,0.726045,0.503399,0.552821,0.305611,0.248503,0.910644,0.503399
15.987073,2.544422,0.038369,1.0,1.0,1.0,0.612958,0.612958,0.612958,1.0,0.54791,0.304374,0.300205,0.265215,0.908387,0.830744,0.721186,0.503471,0.54791,0.300205,0.243499,0.908387,0.503471
