part,shaper,tf_ms,cable_nom_mm,cable_infile_mm,trial,file,condition,applied_pattern,applied_amps,applied_delays_s,applied_amp_sum,tf_inferred_s,move_dist_mm,move_dur_s,rise_time_s,peak_vel_mm_s,amp_pp_mm,amp_pp_first,amp_pp_mean,amp_pp_max,rms,pred_amp_pp_mm,pred_over_meas,resid_window_s,cycles_available,n_cycles,T_meas_s,T_theory_s,T_err_pct,freq_fft_hz,zeta,move_t0,move_t1,good_for_plots,quality_notes
B,ZV,1500.0,1200.0,1200.0,1.0,Bride_ZV_.5_.5_.91_1200_v1.csv,ZV | L=1.2 m,ZV,"[0.5, 0.5]","[0.0, 0.842]",1.0,1.403,296.0,2.346,2.346,200.0,74.0,74.0,73.5,74.0,26.3103,77.2,1.0432,4.39,1.5,1.5,2.2617,2.1979,2.9012,0.4589,,0.711,3.057,False,"only 1.5 residual cycles recorded (handout asks for 4-5) - weakest trials, avoid for plots"
B,ZV,1500.0,1200.0,1200.0,2.0,Bride_ZV_.5_.5_.91_1200_v2.csv,ZV | L=1.2 m,ZV,"[0.5, 0.5]","[0.0, 0.893]",1.0,1.479,295.0,2.347,2.295,200.0,81.0,81.0,78.6,81.0,28.4901,70.1,0.8654,6.83,3.0,3.0,2.22,2.1979,1.0033,0.4589,0.008,1.734,4.081,True,
B,ZV,1500.0,1200.0,1200.0,3.0,Bride_ZV_.5_.5_.91_1200_v3.csv,ZV | L=1.2 m,ZV,"[0.5, 0.5]","[0.0, 0.79]",1.0,1.377,296.0,2.397,2.295,200.0,90.0,90.0,88.2,90.0,30.8555,75.0,0.8333,6.38,3.0,3.0,2.2135,2.1979,0.7115,0.4588,0.0036,1.374,3.772,True,
B,ZVD,1500.0,600.0,603.0,1.0,Bride_ZVD_.5_.5_.91_600_v1.csv,ZVD | L=0.6 m,"ZVD-like (3rd impulse 0.5, sums to 1.25)","[0.25, 0.5, 0.5]","[0.0, 0.893, 1.862]",1.25,1.505,365.0,3.265,3.265,200.0,26.0,26.0,24.8333,26.0,9.6175,17.0,0.6538,8.62,5.5,3.5,1.5546,1.558,-0.2201,0.6499,0.0055,1.527,4.792,True,"applied impulse amplitudes sum to 1.25, not 1.00 - this is not the textbook shaper"
B,ZVD,1500.0,600.0,603.0,2.0,Bride_ZVD_.5_.5_.91_600_v2.csv,ZVD | L=0.6 m,"ZVD-like (3rd impulse 0.5, sums to 1.25)","[0.25, 0.5, 0.5]","[0.0, 0.893, 1.913]",1.25,1.505,371.0,3.367,3.367,200.0,33.0,33.0,31.3333,33.0,11.869,30.2,0.9152,5.61,3.5,3.5,1.5569,1.558,-0.0713,0.6494,0.008,7.087,10.454,True,"applied impulse amplitudes sum to 1.25, not 1.00 - this is not the textbook shaper"
B,ZVD,1500.0,600.0,603.0,3.0,Bride_ZVD_.5_.5_.91_600_v3.csv,ZVD | L=0.6 m,"ZVD-like (3rd impulse 0.5, sums to 1.25)","[0.25, 0.5, 0.5]","[0.0, 0.969, 1.938]",1.25,1.505,371.0,3.367,3.367,200.0,24.0,24.0,22.5,24.0,8.5366,4.8,0.2,8.01,5.0,3.5,1.545,1.558,-0.8375,0.6494,0.0071,0.711,4.078,True,"applied impulse amplitudes sum to 1.25, not 1.00 - this is not the textbook shaper"
B,ZVD,1500.0,900.0,901.0,1.0,Bride_ZVD_.5_.5_.91_900_v1.csv,ZVD | L=0.9 m,"ZVD-like (3rd impulse 0.5, sums to 1.25)","[0.25, 0.5, 0.5]","[0.0, 0.919, 1.887]",1.25,1.428,372.0,3.367,3.367,200.0,60.0,9.0,50.875,60.0,20.2176,51.8,0.8633,7.96,4.5,4.5,1.9054,1.9045,0.0446,0.5178,0.0,1.939,5.305,True,"first swing is a partial one; amp_pp_max is the number to cite; applied impulse amplitudes sum to 1.25, not 1.00 - this is not the textbook shaper"
B,ZVD,1500.0,900.0,901.0,2.0,Bride_ZVD_.5_.5_.91_900_v2.csv,ZVD | L=0.9 m,"ZVD-like (3rd impulse 0.5, sums to 1.25)","[0.25, 0.5, 0.5]","[0.0, 0.918, 1.887]",1.25,1.479,371.0,3.366,3.366,200.0,64.0,64.0,61.2857,64.0,21.7291,47.5,0.7422,10.05,5.5,4.0,1.9033,1.9045,-0.0627,0.517,0.0036,2.394,5.761,True,"applied impulse amplitudes sum to 1.25, not 1.00 - this is not the textbook shaper"
B,ZVD,1500.0,900.0,901.0,3.0,Bride_ZVD_.5_.5_.91_900_v3.csv,ZVD | L=0.9 m,"ZVD-like (3rd impulse 0.5, sums to 1.25)","[0.25, 0.5, 0.5]","[0.0, 0.841, 1.861]",1.25,1.453,371.0,3.367,3.316,200.0,72.0,72.0,68.0,72.0,24.3669,43.3,0.6014,11.88,6.5,4.0,1.913,1.9045,0.4455,0.516,0.0054,0.711,4.077,True,"applied impulse amplitudes sum to 1.25, not 1.00 - this is not the textbook shaper"
B,ZVD,1500.0,1200.0,1201.0,1.0,Bride_ZVD_.5_.5_.91_1200_v1.csv,ZVD | L=1.2 m,"ZVD-like (3rd impulse 0.5, sums to 1.25)","[0.25, 0.5, 0.5]","[0.0, 0.918, 1.862]",1.25,1.48,371.0,3.366,3.315,200.0,35.0,9.0,30.875,35.0,11.9668,55.2,1.5771,11.63,6.0,4.5,2.2075,2.1988,0.3975,0.459,0.0,0.966,4.332,True,"first swing is a partial one; amp_pp_max is the number to cite; applied impulse amplitudes sum to 1.25, not 1.00 - this is not the textbook shaper"
B,ZVD,1500.0,1200.0,1201.0,2.0,Bride_ZVD_.5_.5_.91_1200_v2.csv,ZVD | L=1.2 m,"ZVD-like (3rd impulse 0.5, sums to 1.25)","[0.25, 0.5, 0.5]","[0.0, 0.919, 1.888]",1.25,1.48,370.0,3.316,3.265,200.0,66.0,66.0,63.7143,66.0,22.6287,57.8,0.8758,11.63,5.0,4.0,2.2097,2.1988,0.4974,0.4582,0.0043,3.771,7.087,True,"applied impulse amplitudes sum to 1.25, not 1.00 - this is not the textbook shaper"
B,ZVD,1500.0,1200.0,1201.0,3.0,Bride_ZVD_.5_.5_.91_1200_v3.csv,ZVD | L=1.2 m,"ZVD-like (3rd impulse 0.5, sums to 1.25)","[0.25, 0.5, 0.5]","[0.0, 0.943, 1.836]",1.25,1.428,365.0,3.264,3.217,200.0,51.0,51.0,49.1429,51.0,17.6289,53.6,1.051,11.99,5.5,4.0,2.2124,2.1988,0.6204,0.4585,0.0028,1.425,4.689,True,"applied impulse amplitudes sum to 1.25, not 1.00 - this is not the textbook shaper"
